tipo,numero,data,assunto,situacao,url_bcb
Resolucao BCB,501,11/9/2025,"Altera a Resolucao BCB nº 142, de 23 de setembro de 2021, que dispoe sobre procedimentos e controles para prevencao de fraudes na prestacao de servicos de pagamento a serem adotados pelas instituicoes financeiras, demais instituicoes autorizadas a funcionar pelo Banco Central do Brasil e instituicoes de pagamento integrantes do Sistema de Pagamentos Brasileiro â€“ SPB.",,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20BCB&numero=501
Resolucao BCB,498,5/9/2025,"Disciplina, no ambito do Sistema Financeiro Nacional e do Sistema de Pagamentos Brasileiro, os requisitos, os procedimentos e as condicoes para o credenciamento de Provedor de Servicos de Tecnologia da Informacao â€“ PSTI e da outras providencias.",,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20BCB&numero=498
Instrucao Normativa BCB,596,24/3/2025,"Altera a Instrucao Normativa nº 374, de 26 de Abril de 2023, que divulgou procedimentos, prazos, documentos e informacoes necessarios para a Instrucao de pedidos de autorizacao relacionados ao funcionamento dos Sistemas de Mercado Financeiro (SMF) no ambito do Sistema de Pagamentos Brasileiro (SPB)",,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Instru%C3%A7%C3%A3o%20Normativa%20BCB&numero=596
Instrucao Normativa BCB,585,29/1/2025,Divulga procedimentos e modelos de documentos necessarios i  Instrucao de pedidos de autorizacao relacionados a arranjos de pagamento integrantes do Sistema de Pagamentos Brasileiro (SPB).,,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Instru%C3%A7%C3%A3o%20Normativa%20BCB&numero=585
Resolucao BCB,450,15/1/2025,"Dispoe sobre as atividades essenciais para o cumprimento da missao institucional do Banco Central do Brasil, que devem ser mantidas em funcionamento em caso de paralisacao ou greve.",,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20BCB&numero=450
Resolucao BCB,440,28/11/2024,"Dispoe sobre o processo de planejamento da recuperacao e da Resolucao de instituicoes de pagamento e sobre o conteiºdo, a elaboracao e a remessa do Plano de Recuperacao e de Sai­da Organizada â€“ PRSO.",,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20BCB&numero=440
Resolucao CMN,5.187,28/11/2024,Dispoe sobre o processo de planejamento da recuperacao e da Resolucao de instituicoes financeiras e demais instituicoes autorizadas a funcionar pelo Banco Central do Brasil.,,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20CMN&numero=5.187
Resolucao BCB,429,11/11/2024,"Altera a Resolucao BCB nº 1, de 12 de agosto de 2020, que institui o arranjo de pagamentos Pix, e seu regulamento anexo",,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20BCB&numero=429
Resolucao BCB,315,27/4/2023,Institui o Comite Executivo de Gestao (CEG) do Projeto-Piloto da Plataforma do Real Digital (Piloto RD) e aprova o Regulamento do Piloto RD.,,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20BCB&numero=315
Instrucao Normativa BCB,374,26/4/2023,"Divulga procedimentos, prazos, documentos e informacoes necessarios para a Instrucao de pedidos de autorizacao relacionados ao funcionamento dos Sistemas de Mercado Financeiro (SMF) no ambito do Sistema de Pagamentos Brasileiro (SPB)",,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Instru%C3%A7%C3%A3o%20Normativa%20BCB&numero=374
Resolucao CMN,5.069,20/4/2023,Dispoe sobre o funcionamento do Sistema de Pagamentos em Moeda Local (SML) e estabelece diretrizes para regulamentacao de convenios bilaterais entre participantes do referido sistema celebrados no ambito do Mercosul.,,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20CMN&numero=5.069
Resolucao BCB,289,25/1/2023,"Altera a Resolucao BCB nº 150, de 6 de outubro de 2021, que consolida normas sobre os arranjos de pagamento, aprova o regulamento que disciplina a prestacao de servico de pagamento no ambito dos arranjos integrantes do Sistema de Pagamentos Brasileiro (SPB)",,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20BCB&numero=289
Resolucao BCB,277,31/12/2022,"Regulamenta a Lei nº 14.286, de 29 de dezembro de 2021, em relacao ao mercado de cambio e ao ingresso no Pai­s e i  sai­da do Pai­s de valores em reais e em moeda estrangeira, e da outras providencias.",,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?tipo=Resolu%C3%A7%C3%A3o%20BCB&numero=277
